epoch,loss,lr,val_loss
0,2.015188694000244,0.001,0.7830874919891357
1,0.8655062317848206,0.001,0.7959879040718079
2,0.5329059362411499,0.001,0.8027955889701843
3,0.505770742893219,0.001,0.8058414459228516
4,0.4406830072402954,0.001,0.8068786859512329
5,0.3234587609767914,0.001,0.8089101910591125
6,0.27193987369537354,0.001,0.8110377788543701
7,0.227876678109169,0.001,0.8139318823814392
8,0.20976053178310394,0.0005,0.8173883557319641
9,0.20713581144809723,0.0005,0.8217964172363281
10,0.16257749497890472,0.0005,0.8254091739654541
11,0.18338817358016968,0.0005,0.8291850686073303
12,0.19166742265224457,0.0005,0.8328437209129333
13,0.17618125677108765,0.0005,0.8359437584877014
14,0.2089356929063797,0.0005,0.8389587998390198
15,0.16295382380485535,0.00025,0.841230034828186
