epoch,loss,lr,val_loss
0,2.4583146572113037,0.001,0.6116406917572021
1,1.864179253578186,0.001,0.6187179088592529
2,1.2647650241851807,0.001,0.6285681128501892
3,0.9915814399719238,0.001,0.6384302377700806
4,1.2004419565200806,0.001,0.6471375823020935
5,0.6065265536308289,0.001,0.6545226573944092
6,0.6454521417617798,0.001,0.660285472869873
7,0.6770240664482117,0.001,0.6651235222816467
8,0.4409770369529724,0.0005,0.6673204898834229
9,0.4714201092720032,0.0005,0.669138491153717
10,0.5623294115066528,0.0005,0.670981764793396
11,0.6318596601486206,0.0005,0.6731548309326172
12,0.36265829205513,0.0005,0.6756485104560852
13,0.4717114269733429,0.0005,0.6780731678009033
14,0.3565986454486847,0.0005,0.680837869644165
15,0.3964537978172302,0.00025,0.6824648976325989
