forecast_date,pred_sm_30cm
2025-08-28,25.400436
2025-08-29,25.592983
2025-08-30,25.318916
2025-08-31,25.267422
2025-09-01,25.552704
2025-09-02,25.295996
2025-09-03,25.253443
