epoch,loss,lr,val_loss
0,2.792600393295288,0.001,0.378673255443573
1,1.5272470712661743,0.001,0.38147231936454773
2,1.0933171510696411,0.001,0.3844209909439087
3,0.9147154688835144,0.001,0.3863430917263031
4,0.833136260509491,0.001,0.38767918944358826
5,0.7413909435272217,0.001,0.3880240321159363
6,0.6202991008758545,0.001,0.38596951961517334
7,0.5900462865829468,0.001,0.38327693939208984
8,0.4714857041835785,0.0005,0.3814049959182739
9,0.4809146523475647,0.0005,0.37988606095314026
10,0.46858498454093933,0.0005,0.37880411744117737
11,0.4137305021286011,0.0005,0.3782215118408203
12,0.39967048168182373,0.0005,0.3779628872871399
13,0.39915716648101807,0.0005,0.37817028164863586
14,0.4104657769203186,0.0005,0.37892353534698486
15,0.3984079957008362,0.0005,0.38014209270477295
16,0.4019405245780945,0.0005,0.3813837170600891
17,0.35037103295326233,0.0005,0.3824179768562317
18,0.3054751455783844,0.0005,0.38333094120025635
19,0.36277350783348083,0.0005,0.3838103115558624
20,0.33072739839553833,0.00025,0.38359925150871277
21,0.3169132173061371,0.00025,0.3833557069301605
22,0.2904243469238281,0.00025,0.3832845985889435
23,0.3083016574382782,0.00025,0.383066862821579
24,0.32809773087501526,0.00025,0.38281190395355225
25,0.3198707699775696,0.00025,0.3827069401741028
26,0.29649999737739563,0.00025,0.38257741928100586
27,0.30489063262939453,0.000125,0.38211047649383545
