epoch,loss,lr,val_loss
0,2.256462574005127,0.001,1.3722636699676514
1,1.169951319694519,0.001,1.3801519870758057
2,0.6721516251564026,0.001,1.3876948356628418
3,0.5278831124305725,0.001,1.3947299718856812
4,0.5030782222747803,0.001,1.39994215965271
5,0.427510142326355,0.001,1.4061952829360962
6,0.41365736722946167,0.001,1.4109536409378052
7,0.3216438293457031,0.001,1.4130632877349854
8,0.31835392117500305,0.0005,1.414111614227295
9,0.31870195269584656,0.0005,1.4146225452423096
10,0.27198857069015503,0.0005,1.4143743515014648
11,0.23947453498840332,0.0005,1.414278268814087
12,0.21289043128490448,0.0005,1.415037751197815
13,0.224540114402771,0.0005,1.416455864906311
14,0.21295249462127686,0.0005,1.4186017513275146
15,0.1952963024377823,0.00025,1.4206409454345703
