epoch,loss,lr,val_loss
0,2.971195936203003,0.001,0.4086156189441681
1,1.6697660684585571,0.001,0.4148963689804077
2,1.0852622985839844,0.001,0.4198290705680847
3,0.909025251865387,0.001,0.42379310727119446
4,0.6201228499412537,0.001,0.4275861978530884
5,0.6439706087112427,0.001,0.4315529763698578
6,0.5707376599311829,0.001,0.43554165959358215
7,0.42094001173973083,0.001,0.43878400325775146
8,0.432993620634079,0.0005,0.4404076635837555
9,0.3460734784603119,0.0005,0.44202423095703125
10,0.3876664936542511,0.0005,0.4435766935348511
11,0.5443063974380493,0.0005,0.4448879063129425
12,0.4233231842517853,0.0005,0.4463452994823456
13,0.450609028339386,0.0005,0.44754835963249207
14,0.3568318486213684,0.0005,0.44868582487106323
15,0.2656010389328003,0.00025,0.4492192268371582
