epoch,loss,lr,val_loss
0,1.992364764213562,0.001,0.6349735856056213
1,1.1345405578613281,0.001,0.6457984447479248
2,0.9398165345191956,0.001,0.6560071110725403
3,0.6831811666488647,0.001,0.6662717461585999
4,0.5548907518386841,0.001,0.6744557619094849
5,0.5260944962501526,0.001,0.6800275444984436
6,0.3460114002227783,0.001,0.6849382519721985
7,0.3690299093723297,0.001,0.6909045577049255
8,0.34988459944725037,0.0005,0.6949916481971741
9,0.3268324136734009,0.0005,0.6994907855987549
10,0.2676571011543274,0.0005,0.7041701674461365
11,0.24655957520008087,0.0005,0.7089078426361084
12,0.3529999256134033,0.0005,0.7138445973396301
13,0.26999256014823914,0.0005,0.7182496190071106
14,0.28386691212654114,0.0005,0.7223943471908569
15,0.28311821818351746,0.00025,0.7256328463554382
