date,sm_10cm,sm_20cm,sm_30cm,sm_40cm,sm_50cm,sm_60cm,irrig_mm,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,probe_name
2025-05-05,27.252874383333335,27.523145200000002,28.171158883333334,28.81098385,29.3451843,29.013413933333336,0.0,21610.0,3.93,13.87,0.7780643753642413,11.35,0.0,Sec
2025-05-06,27.162943108333334,27.446401341666668,28.168566725,28.799438925,29.355969491666666,29.048663833333332,0.0,23260.0,5.13,16.03,0.8185097091139144,13.17,0.0,Sec
2025-05-07,27.049961552777777,27.402677105555554,28.143219258333332,28.7542499,29.330845772222222,29.044714083333332,0.0,17840.0,6.73,15.43,0.911688058929506,11.02,0.0,Sec
2025-05-08,26.971619808333333,27.357044183333333,28.11845885833333,28.716880516666667,29.304277408333334,29.031274141666668,0.0,18450.0,7.03,18.23,0.8739468909822876,9.36,0.0,Sec
2025-05-09,26.879558258333333,27.31150335,28.082190225,28.662257416666666,29.261581258333333,28.997891199999998,0.0,24640.0,6.13,19.33,0.8732747962456451,7.36,0.0,Sec
2025-05-10,26.805695775,27.282362252777776,28.041514275,28.59837578611111,29.206869666666666,28.945955944444446,0.0,27240.0,5.37,21.7,0.8480639956851361,6.41,0.0,Sec
2025-05-11,26.722526558333332,27.258881024999997,27.96098901666667,28.497037000000002,29.117829783333335,28.8568916,0.0,25930.0,10.03,24.27,1.2740151893575111,7.07,2.54,Sec
2025-05-12,26.714627058333335,27.1633942,27.9167475,28.456898475,29.074976075,28.80902624166667,0.0,12890.0,11.67,19.2,1.4640893915408302,3.27,1.52,Sec
2025-05-13,26.65476784166667,27.09632327222222,27.87191891666667,28.395524827777777,29.033792916666666,28.765884036111114,0.0,21800.0,10.73,24.0,1.2970701077165692,3.35,0.0,Sec
2025-05-14,26.50965014166667,26.917672266666667,27.72233346666667,28.27195736666667,28.943078166666666,28.682686041666667,0.0,26750.0,8.87,25.0,1.0228745899261318,6.65,0.0,Sec
2025-05-15,26.377931375000003,26.706861375,27.631625191666668,28.2211243,28.924728016666666,28.662408499999998,0.0,14350.0,7.93,16.03,1.0443069978007662,12.62,0.0,Sec
2025-05-16,26.243999597222224,26.572439655555556,27.589571505555554,28.202036000000003,28.953557594444444,28.69471515277778,0.0,28440.0,6.2,19.63,0.8819115917307182,12.07,0.0,Sec
2025-05-17,25.99166525,26.422811758333335,27.450459008333336,28.09805181666667,28.915233508333333,28.677516833333332,0.0,18700.0,9.57,20.03,1.0178637074603287,9.65,0.0,Sec
2025-05-18,25.733996941666664,26.276208405555554,27.320433813888886,28.018752491666664,28.88638018888889,28.664367547222223,0.0,19670.0,6.13,18.83,1.0215429207950848,5.39,0.0,Sec
2025-05-19,25.458539650000002,26.12971656666667,27.118736124999998,27.915478399999998,28.842501991666666,28.635930066666663,0.0,28040.0,4.83,22.8,0.9287063388895512,5.63,0.0,Sec
2025-05-20,25.058641491666666,25.975730275,26.7912889,27.73375105,28.75155414166667,28.567094341666664,0.0,26200.0,8.23,23.67,1.0765913835448246,8.51,0.0,Sec
2025-05-21,26.71282988611111,26.01592563611111,26.68254271388889,27.769797375,28.74413810833333,28.565658330555554,25.0,11230.0,8.47,17.5,0.991108879973058,5.3,0.51,Sec
2025-05-22,27.436470850000003,26.273295375,26.782256274999998,27.90329245,28.836316208333333,28.655106858333337,0.0,22630.0,6.73,18.77,0.9472326336090542,9.73,0.0,Sec
2025-05-23,26.86594565,26.201280424999997,26.807795833333333,27.915616533333335,28.885413975000002,28.717003541666667,0.0,25280.0,4.43,17.43,0.7584854665402472,6.12,0.0,Sec
