date,sm_10cm,sm_20cm,sm_30cm,sm_40cm,sm_50cm,sm_60cm,irrig_mm,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,probe_name
2025-05-07,27.74392198,28.73004894,28.68579102,29.06825114,29.29235866,28.691059080000002,0.0,17840.0,6.73,15.43,0.911688058929506,11.02,0.0,Robot-20
2025-05-08,27.674906250000003,28.689916458333332,28.674851291666666,29.075790486111114,29.292013758333336,28.701639805555555,0.0,18450.0,7.03,18.23,0.8739468909822876,9.36,0.0,Robot-20
2025-05-09,27.592505399999997,28.649568575,28.65597235,29.047705533333332,29.24971905833333,28.680495333333337,0.0,24640.0,6.13,19.33,0.8732747962456451,7.36,0.0,Robot-20
2025-05-10,27.50101365,28.611173983333334,28.629521975,29.01131171666667,29.185206475,28.65078803333333,0.0,27240.0,5.37,21.7,0.8480639956851361,6.41,0.0,Robot-20
2025-05-11,27.4005605,28.562875519444447,28.591800783333337,28.94758980277778,29.072800474999998,28.60550763888889,0.0,25930.0,10.03,24.27,1.2740151893575111,7.07,2.54,Robot-20
2025-05-12,27.3310449,28.510302116666665,28.574801750000002,28.936596691666665,29.013996683333332,28.594453375,0.0,12890.0,11.67,19.2,1.4640893915408302,3.27,1.52,Robot-20
2025-05-13,27.369635900000002,28.502234266666665,28.571326833333334,28.906733991666666,28.987993083333333,28.558428633333335,0.0,21800.0,10.73,24.0,1.2970701077165692,3.35,0.0,Robot-20
2025-05-14,27.2849688,28.447960816666665,28.527523458333334,28.856475041666666,28.87886271388889,28.51647063333333,0.0,26750.0,8.87,25.0,1.0228745899261318,6.65,0.0,Robot-20
2025-05-15,27.116292891666664,28.373219891666665,28.498042783333332,28.87181215833333,28.866453016666668,28.529569558333336,0.0,14350.0,7.93,16.03,1.0443069978007662,12.62,0.0,Robot-20
2025-05-16,27.05717614166667,28.33414110833333,28.501092508333333,28.88749245,28.944593316666666,28.533797733333333,0.0,28440.0,6.2,19.63,0.8819115917307182,12.07,0.0,Robot-20
2025-05-17,26.942244891666665,28.26710759166667,28.461617311111112,28.850746105555555,28.91284998888889,28.515033183333333,0.0,18700.0,9.57,20.03,1.0178637074603287,9.65,0.0,Robot-20
2025-05-18,26.821423550000002,28.200540274999998,28.421277341666666,28.826819541666666,28.893712766666667,28.500207591666666,0.0,19670.0,6.13,18.83,1.0215429207950848,5.39,0.0,Robot-20
2025-05-19,26.70776355833333,28.12269135,28.36438151666667,28.781813975000002,28.8581607,28.472522650000002,0.0,28040.0,4.83,22.8,0.9287063388895512,5.63,0.0,Robot-20
2025-05-20,26.531634925000002,27.99868071111111,28.26021531388889,28.70015415277778,28.74672451111111,28.422492483333333,0.0,26200.0,8.23,23.67,1.0765913835448246,8.51,0.0,Robot-20
2025-05-21,27.687849775,28.327713591666665,28.237186616666666,28.720007941666665,28.749085008333335,28.439456983333333,25.0,11230.0,8.47,17.5,0.991108879973058,5.3,0.51,Robot-20
2025-05-22,27.98528105833333,28.644582105555557,28.348091855555555,28.81353356111111,28.908909591666667,28.479967461111112,0.0,22630.0,6.73,18.77,0.9472326336090542,9.73,0.0,Robot-20
2025-05-23,27.64794003333333,28.52575794166667,28.367034108333332,28.85778946666667,29.00673605,28.507895575000003,0.0,25280.0,4.43,17.43,0.7584854665402472,6.12,0.0,Robot-20
2025-05-24,27.469940124999997,28.411424550000003,28.374946558333335,28.897368983333333,29.08851961666667,28.530389725000003,0.0,7940.0,4.53,18.2,1.1355520192085289,5.35,1.52,Robot-20
2025-05-25,27.43017427222222,28.279661897222223,28.346793258333335,28.861239202777778,29.083897186111113,28.509510727777776,0.0,16750.0,11.33,20.53,1.2932173465447487,10.9,2.54,Robot-20
2025-05-26,27.318451025,28.122572641666665,28.292992483333336,28.834615441666667,29.078155300000002,28.510347441666667,0.0,18060.0,7.63,20.0,1.1166020897470637,6.45,0.0,Robot-20
2025-05-27,27.17021582833333,27.98326129,28.240159504999998,28.786528206666663,29.04353002166667,28.497480321666668,0.0,11060.0,9.4,18.2,1.3485324844411553,10.32,0.0,Robot-20
2025-05-28,27.19515911111111,27.82341325277778,28.158897391666667,28.720510833333336,28.991230583333333,28.47538819722222,25.0,18630.0,10.97,20.73,1.302205074520316,11.77,3.81,Robot-20
2025-05-29,27.947203741666666,28.103160591666665,28.085041383333333,28.655696083333336,28.960614625,28.461920916666667,0.0,19410.0,8.33,23.37,1.4390562848882444,4.93,0.0,Robot-20
2025-05-30,27.8852531,28.065834374999998,28.003080833333332,28.51274319166667,28.842053058333335,28.42189894166667,0.0,26600.0,11.1,28.8,1.6902320333382572,3.85,0.0,Robot-20
2025-05-31,27.71389726111111,27.854057269444443,27.901913994444445,28.415464230555557,28.72828227222222,28.412464147222224,0.0,15240.0,12.9,27.6,1.9749887070146088,5.39,6.6,Robot-20
2025-06-01,27.620134225,27.743966441666668,27.852390316666668,28.38101795,28.719142450000003,28.407990641666668,0.0,19210.0,13.17,21.93,1.4652365284657043,5.65,0.0,Robot-20
2025-06-02,27.251412472222224,27.53675924722222,27.779250875000002,28.31315707222222,28.739167466666668,28.39943285,0.0,24900.0,11.96,22.0,1.2477837972874568,5.13,0.0,Robot-20
2025-06-03,26.796518541666668,27.190684166666667,27.616452108333334,28.178477791666666,28.707032041666665,28.382835266666664,0.0,25850.0,8.73,23.6,1.145160719716756,6.42,0.0,Robot-20
2025-06-04,26.362283458333334,26.914941975,27.471435850000002,28.075210175,28.67550095,28.367280158333333,0.0,15000.0,12.41,21.03,1.2429045685100104,5.55,0.0,Robot-20
