date,sm_10cm,sm_20cm,sm_30cm,sm_40cm,sm_50cm,sm_60cm,irrig_mm,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,probe_name
2025-05-05,27.797840599999997,28.555913676923076,29.255723707692308,29.391302902564103,29.721450866666665,29.72560150769231,0.0,21610.0,3.93,13.87,0.7780643753642413,11.35,0.0,Canon3
2025-05-06,27.670283100000002,28.49096345,29.226331358333336,29.408660883333336,29.760987216666667,29.762746258333333,0.0,23260.0,5.13,16.03,0.8185097091139144,13.17,0.0,Canon3
2025-05-07,27.49023493333333,28.407427316666666,29.18628348333333,29.396839691666667,29.751671849999997,29.765927641666664,0.0,17840.0,6.73,15.43,0.911688058929506,11.02,0.0,Canon3
2025-05-08,27.358705380555552,28.34728463888889,29.147573774999998,29.38898479722222,29.7400816,29.761958466666666,0.0,18450.0,7.03,18.23,0.8739468909822876,9.36,0.0,Canon3
2025-05-09,27.200252058333334,28.283342575000002,29.114542641666663,29.36871445,29.702729483333332,29.742395333333334,0.0,24640.0,6.13,19.33,0.8732747962456451,7.36,0.0,Canon3
2025-05-10,27.02183559166667,28.227484908333334,29.0726904,29.339261833333335,29.645712791666668,29.708964908333332,0.0,27240.0,5.37,21.7,0.8480639956851361,6.41,0.0,Canon3
2025-05-11,26.791627758333334,28.124180600000003,29.02478691111111,29.281943694444447,29.539035008333332,29.644132172222225,0.0,25930.0,10.03,24.27,1.2740151893575111,7.07,2.54,Canon3
2025-05-12,26.72207115,28.056124033333333,28.984131825000002,29.268813833333336,29.484280249999998,29.607111,0.0,12890.0,11.67,19.2,1.4640893915408302,3.27,1.52,Canon3
2025-05-13,26.623708705555558,27.966677663888888,28.92226104166667,29.232973988888887,29.455524055555557,29.57774327777778,0.0,21800.0,10.73,24.0,1.2970701077165692,3.35,0.0,Canon3
2025-05-14,26.421003075,27.812197833333332,28.812341441666664,29.159936708333333,29.350636249999997,29.520194916666668,0.0,26750.0,8.87,25.0,1.0228745899261318,6.65,0.0,Canon3
2025-05-15,26.325656541666664,27.780684008333335,28.746566233333336,29.154776133333332,29.346667075,29.51594731666667,0.0,14350.0,7.93,16.03,1.0443069978007662,12.62,0.0,Canon3
2025-05-16,26.20359487777778,27.758802825,28.661600563888886,29.14209160833333,29.420987125,29.553873550000002,0.0,28440.0,6.2,19.63,0.8819115917307182,12.07,0.0,Canon3
2025-05-17,25.963824908333333,27.625074650000002,28.54059648333333,29.061376416666665,29.383181758333333,29.549902216666666,0.0,18700.0,9.57,20.03,1.0178637074603287,9.65,0.0,Canon3
2025-05-18,25.728605425,27.450312241666666,28.397082424999997,28.989836299999997,29.357549391666666,29.547148183333334,0.0,19670.0,6.13,18.83,1.0215429207950848,5.39,0.0,Canon3
2025-05-19,25.472728533333335,27.154530644444446,28.142853780555555,28.86592926111111,29.300443488888888,29.528967822222224,0.0,28040.0,4.83,22.8,0.9287063388895512,5.63,0.0,Canon3
2025-05-20,27.444435100000003,27.350517383333337,27.969864083333334,28.78267083333333,29.237183458333334,29.510227733333334,0.0,26200.0,8.23,23.67,1.0765913835448246,8.51,0.0,Canon3
2025-05-21,28.5238176,27.97899815,28.017694908333336,28.872669016666666,29.352537741666666,29.580533283333335,25.0,11230.0,8.47,17.5,0.991108879973058,5.3,0.51,Canon3
2025-05-22,28.333423102777775,28.038266702777776,28.063650141666667,28.944910591666666,29.488615622222223,29.661338405555554,0.0,22630.0,6.73,18.77,0.9472326336090542,9.73,0.0,Canon3
2025-05-23,27.71253895,27.736071258333336,28.024981441666668,28.970292591666666,29.554868541666668,29.715653583333335,0.0,25280.0,4.43,17.43,0.7584854665402472,6.12,0.0,Canon3
2025-05-24,27.40178859166667,27.549895583333335,28.011949425,29.0069044,29.606944808333335,29.760151941666667,0.0,7940.0,4.53,18.2,1.1355520192085289,5.35,1.52,Canon3
2025-05-25,27.160865352777776,27.331068641666665,27.969428819444445,28.960047702777775,29.577886447222223,29.76508948888889,0.0,16750.0,11.33,20.53,1.2932173465447487,10.9,2.54,Canon3
2025-05-26,26.917285925,27.132387583333337,27.885345908333335,28.884490208333332,29.5501051,29.763825424999997,0.0,18060.0,7.63,20.0,1.1166020897470637,6.45,0.0,Canon3
2025-05-27,27.722908015,27.193537195555553,27.846611163333336,28.829930995,29.534931297222226,29.757726694444443,0.0,11060.0,9.4,18.2,1.3485324844411553,10.32,0.0,Canon3
2025-05-28,28.51158848333333,28.241583141666666,28.099914458333334,28.925964741666665,29.576369858333333,29.769264425,25.0,18630.0,10.97,20.73,1.302205074520316,11.77,3.81,Canon3
2025-05-29,28.131648433333336,28.010084625,28.25360074166667,28.980773458333335,29.6490172,29.806148183333335,0.0,19410.0,8.33,23.37,1.4390562848882444,4.93,0.0,Canon3
2025-05-30,27.541303258333333,27.481108780555555,28.038857366666665,28.820825850000002,29.573170488888888,29.761585794444443,0.0,26600.0,11.1,28.8,1.6902320333382572,3.85,0.0,Canon3
2025-05-31,27.388734991666666,27.097716116666664,27.84562394166667,28.691360383333333,29.471606516666668,29.700834466666667,0.0,15240.0,12.9,27.6,1.9749887070146088,5.39,6.6,Canon3
2025-06-01,27.234863091666668,26.994511091666666,27.7910289,28.627137016666666,29.40241466666667,29.68187998333333,0.0,19210.0,13.17,21.93,1.4652365284657043,5.65,0.0,Canon3
2025-06-02,26.672958275,26.86359738333333,27.713754811111112,28.524909716666667,29.314597119444443,29.67581506666667,0.0,24900.0,11.96,22.0,1.2477837972874568,5.13,0.0,Canon3
