epoch,loss,val_loss
0,3.0952718257904053,1.6922836303710938
1,0.983547031879425,1.6817147731781006
2,0.5683825016021729,1.6945281028747559
3,0.5756101012229919,1.736128807067871
4,0.49066877365112305,1.7945330142974854
5,0.6956148743629456,1.8259339332580566
6,0.5459514260292053,1.8392497301101685
7,0.48457950353622437,1.843605637550354
8,0.6601348519325256,1.8314952850341797
9,0.35329297184944153,1.8247536420822144
10,0.7947064638137817,1.8254494667053223
11,0.3844170570373535,1.8500505685806274
