epoch,loss,lr,val_loss
0,2.462834119796753,0.001,0.40492570400238037
1,1.4252604246139526,0.001,0.4075581729412079
2,0.9653921723365784,0.001,0.4119333326816559
3,0.8400776386260986,0.001,0.41693297028541565
4,0.7521365880966187,0.001,0.421299010515213
5,0.6567109227180481,0.001,0.4245070517063141
6,0.5434819459915161,0.001,0.42694026231765747
7,0.5514150857925415,0.001,0.4275263547897339
8,0.4288392961025238,0.0005,0.42734402418136597
9,0.43668898940086365,0.0005,0.42707738280296326
10,0.40225711464881897,0.0005,0.42742374539375305
11,0.41716262698173523,0.0005,0.42853257060050964
12,0.4393294155597687,0.0005,0.43042802810668945
13,0.33906352519989014,0.0005,0.4330165684223175
14,0.38201040029525757,0.0005,0.43596944212913513
15,0.3394657373428345,0.00025,0.437459260225296
