epoch,loss,lr,val_loss
0,2.077094316482544,0.001,0.4000316560268402
1,1.3261080980300903,0.001,0.3989271819591522
2,0.9048494100570679,0.001,0.4014996588230133
3,0.7404471039772034,0.001,0.40704986453056335
4,0.7075799107551575,0.001,0.4127301871776581
5,0.6080110669136047,0.001,0.41870638728141785
6,0.5056589245796204,0.001,0.4253796339035034
7,0.48908793926239014,0.001,0.4328533411026001
8,0.4435299038887024,0.001,0.44131842255592346
9,0.40579548478126526,0.0005,0.44694721698760986
10,0.37532007694244385,0.0005,0.4520866274833679
11,0.37609633803367615,0.0005,0.4565652906894684
12,0.37064799666404724,0.0005,0.46041300892829895
13,0.3573589026927948,0.0005,0.4635336697101593
14,0.3414302170276642,0.0005,0.4659893810749054
15,0.3206031918525696,0.0005,0.46796169877052307
16,0.3054843246936798,0.00025,0.46960020065307617
